,Confirmed,Deaths,Recovered,Active,Not Active
Asia,169331,5152,86741,77438,91893
Europe,647156,51179,145847,450130,197026
Africa,10038,506,1100,8432,1606
Americas,55930,1870,7613,32741,9483
Oceania,7072,46,1321,5705,1367
